y1,x1,x2,y2,z1,z2
6.1566,1.6375,2.095,3.3439,0.89447,1.9043
9.207,0.75726,1.9591,6.1088,2.8561,2.986
1.7651,-0.21415,0.99491,0.56444,0.25241,1.8715
12.967,1.701,2.1388,6.859,2.329,3.2866
9.0839,1.1505,2.8309,5.9259,2.7375,2.6894
-1.0691,-0.37084,1.228,-0.73168,0.16298,0.21273
1.6101,0.54583,2.3197,-0.41023,-0.049941,1.0859
1.6979,-0.29596,0.94482,1.4263,0.012016,1.7322
4.3981,1.3381,2.1476,1.7298,0.98392,2.746
1.0365,1.7431,1.8613,-1.9169,-1.1474,0.1642
11.4,2.6579,1.4958,6.2993,2.6374,3.4273
8.1706,1.5801,1.8348,3.8097,1.1264,2.3103
8.1174,1.6605,1.3377,5.382,2.1605,3.9939
9.7071,1.7249,1.4823,4.9596,1.9613,1.4598
10.178,2.5286,2.6884,5.5435,2.3671,3.8091
6.3164,0.42551,1.7917,4.1996,1.1666,3.1081
6.3987,-0.0087282,1.5859,2.2932,-0.50918,2.0255
3.8064,0.87938,2.0459,2.3627,0.93971,1.2688
2.1713,0.10137,1.4542,0.34479,1.6317,0.67713
1.4499,0.66173,0.92222,0.17005,0.18291,0.89641
2.8958,1.2181,1.9029,0.52617,-0.1647,1.8469
6.5503,0.91822,2.5869,4.0701,2.5473,2.8288
3.0371,0.79566,1.4209,0.98352,0.39575,1.1999
8.4957,1.5067,1.2584,4.0958,1.4776,0.45639
8.8069,1.4609,1.343,5.8538,1.4305,3.2594
6.0073,0.98141,2.2758,2.1467,0.70546,2.1101
9.1636,2.5454,2.1582,4.4047,1.9911,2.3433
0.82321,1.1879,1.4832,0.52083,0.91871,0.13356
-0.35508,0.95619,1.907,-1.5877,-0.4082,0.90106
9.6569,1.2466,1.6835,6.5323,2.4536,3.502
9.1125,0.86659,2.4858,5.1225,1.2705,2.284
6.6055,1.338,2.6074,2.0889,-0.24062,1.543
1.1546,0.52504,1.7042,0.055854,-0.5596,1.7704
3.7142,0.037002,1.171,2.8253,1.8512,1.2598
3.11,-0.97417,0.70616,3.4844,2.531,1.2491
9.6836,2.371,1.9951,4.1162,0.87137,2.2013
10.319,1.051,2.5636,4.9871,0.71679,1.796
3.6984,0.4185,2.3058,2.6554,1.2244,2.2048
8.6465,1.8755,2.2018,4.629,2.1863,3.3232
4.6023,1.3596,2.3826,0.94378,1.6146,-0.1432
8.5721,0.75825,1.8815,4.6471,1.4186,2.4019
7.295,1.1188,2.0991,5.8286,2.9364,3.8008
6.9686,1.3775,0.89434,4.0091,1.9938,0.93205
6.5679,1.7121,1.7317,3.3368,0.51968,1.8441
8.1945,0.50236,1.3517,5.8203,2.6263,2.4123
7.5114,0.070822,3.14,2.1115,0.17649,1.8499
5.576,1.3188,3.4052,1.5484,0.77799,2.1737
2.6954,0.83555,1.4839,1.4926,0.42161,1.2705
6.2174,1.6851,1.1288,3.0729,2.1783,1.0388
11.245,1.6873,2.5364,5.9399,2.767,3.1208
4.9084,-0.40882,-0.56699,5.1728,2.4221,3.5625
7.5334,1.9214,3.1096,1.9722,0.65808,-0.084126
2.3481,0.38158,1.0417,0.16885,-0.3512,1.4171
5.1193,0.34335,2.4185,2.3871,1.6354,1.8759
2.2841,-0.18655,2.9516,3.2273,2.4809,3.333
5.9951,0.9902,1.0848,2.3926,0.020096,0.68377
4.6186,0.83596,2.1347,2.3263,1.5029,1.3025
5.0047,0.73786,1.1836,3.0123,1.3488,1.2237
7.331,2.6249,1.6814,2.9877,2.552,2.4869
6.7785,1.4371,2.4223,3.1863,1.3232,0.14971
9.5692,1.3331,1.2547,5.5482,2.3337,1.9175
7.5761,0.88409,2.5466,1.9112,0.020338,1.1213
9.3564,0.70968,2.7949,5.0415,1.1959,2.9425
2.8792,1.4319,3.0943,-0.79398,-0.89107,0.69302
8.2076,0.14863,3.1115,4.5074,1.3291,1.0911
9.1085,0.99862,2.9903,5.446,1.6686,2.858
2.3003,2.2174,1.9009,-0.45835,-0.93288,1.1964
8.5361,2.0338,1.8646,5.004,1.3922,2.8542
2.5674,0.99244,2.4601,-1.4977,-0.98075,-0.28303
8.2135,1.6185,3.4164,2.7381,1.1198,1.5817
1.7852,0.22629,1.2454,0.085316,-0.38123,-0.50006
4.1514,0.86858,1.8711,2.367,0.067226,3.1386
6.898,1.8024,2.0763,3.5911,1.2888,2.8787
4.062,2.8339,1.1523,0.34277,-0.14316,1.4906
2.9376,1.1976,2.1061,-0.579,-0.012426,0.86263
5.1716,0.6151,2.5975,1.6631,1.8929,0.98389
6.6267,2.1316,2.6205,3.6181,2.5875,1.9358
7.7703,0.33738,1.4409,5.0929,1.6045,3.146
3.3752,0.93051,2.0309,0.51993,-0.23768,2.5835
5.9494,0.45474,2.4053,2.9145,1.8457,2.3233
4.1561,-0.067479,1.7658,2.1421,0.37087,1.8149
6.8145,0.78399,1.9053,4.5983,1.1145,1.5677
9.5782,1.146,2.1451,5.4479,1.5015,3.1526
7.9758,1.7018,2.7792,2.8144,0.47731,0.96111
2.5701,1.0821,2.1164,0.17639,0.47807,1.5886
4.2715,0.13653,1.7256,2.7896,1.3859,2.39
6.817,1.2978,3.5056,2.7066,0.09367,1.7027
8.3359,1.1789,1.6158,5.4955,1.1186,4.1682
4.8858,0.82058,1.644,1.4696,-0.95249,2.2791
4.7916,0.79621,2.2494,1.3429,0.65206,2.0475
6.5625,1.0216,2.3477,2.0358,-0.10921,0.45894
7.683,2.3772,2.811,2.9284,1.2723,2.2873
8.9531,0.90048,2.4484,4.3539,1.7041,0.9544
2.1809,1.3923,1.5609,-0.66928,0.77569,0.48983
7.8977,0.06461,1.7051,4.3839,0.73594,1.6507
8.6905,0.25898,1.3595,6.2147,2.0897,2.9321
9.1097,2.0391,2.4973,4.3983,2.1419,2.6106
6.7264,1.2322,1.8846,2.6193,1.1795,1.6566
9.7444,1.3317,2.8297,6.2823,1.7844,3.8202
6.1902,1.3592,1.719,2.8614,1.0637,1.7041
3.6536,0.11699,0.9401,2.1296,1.0295,1.4051
5.885,1.0353,1.7688,4.0337,2.0164,2.1879
7.4053,0.88853,1.2897,3.7106,0.26267,3.0389
9.817,0.17497,1.6448,6.4617,2.162,3.1189
5.4724,0.93433,1.3396,2.3953,0.96555,0.97335
9.6949,2.7037,2.2677,4.3992,0.14538,2.2666
4.0576,0.8614,1.1471,0.50764,-0.21567,0.32488
5.3226,1.4527,0.9023,3.3425,1.8447,1.4504
6.2013,0.84358,3.2979,4.0255,3.0399,2.0456
4.7272,1.2165,1.6341,1.1343,0.89165,-0.24824
4.867,1.3262,3.1003,0.40183,-0.79213,1.7985
5.8648,0.83661,2.2764,1.6838,-0.033777,1.8498
4.2495,0.449,1.3149,1.9162,1.0658,1.137
7.1658,0.54266,1.5897,4.8292,1.6441,2.5359
8.1297,2.4725,2.9204,3.5476,1.5504,2.8309
4.9233,0.53331,2.1743,1.4114,1.0455,0.47247
7.6656,0.69132,0.78034,4.4142,1.6589,1.9636
1.4178,0.22219,0.45746,-0.7043,-1.0621,0.0052749
8.1588,0.86819,1.8901,4.8991,2.0686,1.7342
8.8795,0.40053,1.5444,5.6863,2.4954,1.9925
7.1413,1.7274,2.2827,3.9019,1.6023,2.5098
9.39,1.5574,2.6408,4.8642,1.9577,1.896
4.4233,1.014,2.0554,2.2784,0.61109,1.1797
9.1386,1.7164,2.1916,4.6524,1.7877,2.5107
4.8878,1.2269,1.0781,2.615,0.76546,1.6862
6.133,1.4456,2.5478,2.27,1.6339,2.5411
5.3372,2.3216,2.8286,0.21172,-0.43084,0.58177
9.3423,0.90032,2.7499,5.8468,1.3888,3.0465
4.8373,0.91165,1.9376,2.2177,0.51737,1.9278
3.999,0.7792,2.1444,2.1386,1.2485,1.9009
1.102,0.76863,1.8721,-0.61669,0.58853,0.17271
6.8505,0.08528,0.71126,4.5609,1.4445,1.9556
4.4122,-0.23165,0.59816,3.1376,1.48,1.9993
9.6605,0.59033,0.85584,7.7657,2.4359,4.6194
5.7345,0.84311,1.2882,2.4012,0.75577,1.4754
3.8623,0.30829,1.63,3.3102,2.1383,2.3327
5.2719,0.31233,2.3726,3.5499,2.5463,2.09
4.0031,0.61502,1.8701,1.8531,1.2288,2.7328
5.7245,2.1245,1.4347,2.8397,1.0683,2.2321
4.6432,1.0635,1.7534,1.7877,1.5623,0.64911
5.8303,1.093,1.1912,4.9014,2.1319,3.2666
0.75157,0.90075,2.1153,-1.4748,-2.0734,0.91205
2.5099,0.098594,1.3233,1.8928,-0.19705,2.8705
6.5682,0.98771,2.2036,1.3841,0.48531,2.0285
7.0415,0.52444,2.8218,2.7472,0.90717,2.9598
3.5248,-0.23823,1.2565,1.8534,0.41692,1.4212
7.5412,1.3065,2.5521,2.9215,1.7851,1.2972
7.4316,1.2975,2.1717,5.2008,2.7993,2.4702
3.4171,0.73087,1.8091,-0.55819,-1.4202,0.3248
3.0102,0.74929,0.98203,1.0822,0.68737,0.98267
8.3298,1.5041,2.4882,3.9082,0.76812,2.3416
4.8866,1.3827,2.1828,2.4341,0.45429,1.8641
1.918,0.35846,0.19438,2.034,1.8984,1.2837
13.982,2.0479,3.7715,6.0108,1.7102,2.2114
4.7032,0.089115,0.90851,3.6181,0.77049,1.8317
7.0011,1.2883,1.6754,2.8058,-0.49485,1.3394
6.2253,1.7034,4.1319,0.94124,0.58672,0.53511
5.9774,1.7359,2.0209,1.2797,0.11016,0.27358
6.788,0.28131,1.1961,4.2245,0.58753,2.6819
6.6429,1.1223,2.6939,2.7944,1.3061,0.75399
9.1919,1.4355,2.625,5.2605,1.9127,2.3072
8.9833,1.8712,2.2934,4.3891,1.7097,1.8091
9.9786,1.843,2.5415,4.5528,1.5452,0.61318
5.834,0.81494,1.8739,2.4618,-0.11521,1.5892
5.7912,0.70375,1.273,3.5544,-0.60829,2.538
7.6239,1.5215,3.5017,3.0187,1.7692,1.0846
5.1901,0.42059,1.5867,3.004,0.48673,1.0114
4.4734,1.4585,2.4285,1.3096,-0.05877,1.3582
4.7976,2.0965,1.853,0.89063,-0.49618,1.8239
3.9076,1.0779,1.7559,2.304,0.74622,2.194
5.5173,1.2351,1.3504,2.8171,1.6935,2.4061
8.3468,1.3398,3.4426,2.8976,1.1829,1.4466
2.1318,1.3848,1.9669,-1.6458,-0.88584,-3.0877e-05
8.367,0.30768,2.5988,4.8894,2.0027,2.7388
5.0322,0.83464,2.1536,2.9078,1.5952,2.0956
3.9011,1.0132,2.2604,2.9472,1.2582,2.3611
9.5317,0.24217,1.7527,6.1668,1.199,4.9486
4.0475,-0.04978,0.8456,2.923,1.2141,1.1109
6.3721,0.6702,1.1654,3.8111,1.6617,2.1583
11.746,1.6177,1.6608,7.9952,3.1016,5.1165
3.7826,-0.34498,2.2087,2.2234,0.4962,1.7754
6.3492,0.1215,2.6901,4.1043,2.2909,1.028
5.9515,0.17656,1.8055,4.3618,0.35484,3.1129
1.4111,-0.1085,-0.46469,0.71791,-0.63602,0.63077
9.3639,0.74047,2.2549,6.0678,2.2758,2.8591
6.9881,0.80344,2.1877,3.5416,0.76512,1.8095
4.2168,1.3872,2.3674,0.41283,-1.016,0.018454
8.5806,1.634,2.888,3.6243,1.6301,1.6557
6.5296,1.3165,2.3526,2.9933,0.89322,1.7983
7.3142,0.87216,3.7335,1.882,-0.26319,1.5425
8.4653,0.57077,1.8656,5.4072,1.4482,3.3589
3.2751,0.8027,2.6795,-0.038137,-0.22995,0.5894
3.2667,1.0456,1.9826,1.7643,1.553,2.1268
7.7175,1.584,2.9678,3.1396,1.4747,2.4599
7.8038,1.0891,2.2996,3.8707,0.92289,2.1561
8.4421,1.0023,2.2453,4.6156,1.3194,1.9628
5.3377,1.3828,1.731,1.5825,-0.3406,1.6089
5.0676,1.3079,0.58398,4.2457,0.59288,4.5002
7.7221,1.878,1.9608,3.5867,2.2338,-0.057731
5.8376,0.7699,1.3388,3.8658,2.018,3.7773
4.413,0.34481,1.2552,1.2925,-0.54749,1.1148
4.4794,0.75523,1.142,3.2005,0.7857,2.0968
2.485,0.049183,1.5959,1.5551,0.65729,1.5892
6.1039,1.4086,3.1258,2.4937,1.5133,2.3023
3.84,0.26132,1.8913,2.9511,1.0118,2.2427
8.2645,0.11393,2.0166,4.8553,0.89535,2.8926
5.2901,0.70788,1.7245,2.7045,0.85893,1.4177
6.1975,-0.71683,1.1814,5.3446,3.1019,2.8717
4.9609,0.65997,1.7468,2.425,0.88116,1.0773
5.8018,0.46517,1.9098,4.3584,2.2841,2.3655
2.1979,1.9839,3.0866,-2.7395,-1.2683,-0.84917
2.356,0.22968,1.1796,1.0173,0.64354,-0.10619
7.3647,0.96712,2.2032,4.5353,0.4503,2.9872
5.529,1.2233,2.5844,0.95735,-1.6489,1.3168
11.526,1.0503,1.9879,7.4758,3.8695,3.2954
7.6776,0.37582,1.4738,4.9991,1.9762,3.1802
4.6511,0.33823,1.4475,2.9788,1.7653,1.6294
8.8355,1.4098,2.0614,4.6437,1.2904,1.2506
8.5257,3.2646,3.6366,1.0961,-0.063063,1.5907
1.6392,0.85855,0.60569,0.91106,0.6088,0.88331
6.865,1.5418,1.8353,4.8279,1.963,3.364
4.4549,1.5978,1.2704,2.3638,1.0445,2.7239
3.2646,0.81994,0.98218,1.5983,0.69839,1.3132
3.8164,0.59769,2.4089,1.7632,-0.098233,1.104
9.0617,1.3121,1.2818,6.6701,2.5072,4.2853
9.2642,1.5639,3.79,2.9764,-0.51848,1.9344
8.1085,0.68387,1.792,5.9775,3.2078,4.8482
7.9301,0.53666,1.9173,5.1497,0.78544,0.89837
7.6225,1.3199,1.8786,3.5804,0.21106,2.7951
8.406,0.61803,2.1488,6.5628,2.4567,3.6497
5.3131,1.8412,1.9538,1.8723,1.106,1.9003
1.7505,0.35854,1.4453,0.64356,0.9177,0.19495
7.7022,2.166,2.1123,3.2277,1.1161,2.5414
5.0039,1.4918,1.9851,1.998,0.84156,1.9227
7.2467,1.1613,2.1286,3.0625,0.67843,1.3748
6.2224,1.0235,1.5412,5.1337,2.4283,3.5013
5.6707,1.0193,1.2031,4.644,1.7492,2.6151
3.3086,1.486,1.3205,-0.32543,-0.24369,0.41101
5.6354,0.41044,3.0259,1.2714,-0.1145,1.4658
-0.067295,1.6447,1.9593,-2.296,0.0612,-0.17985
8.6161,1.8532,1.2088,5.1012,2.3864,3.2267
6.4426,0.52673,2.2314,2.783,1.4073,1.8895
7.6968,0.80195,1.4939,5.2845,2.3113,2.1084
4.2637,1.7098,2.719,-0.1875,-0.14847,0.19158
6.5825,1.749,1.9517,3.2348,1.4521,2.318
3.2859,1.0355,1.7674,2.0056,1.3379,1.3234
1.0355,0.88266,2.4626,-0.26421,0.86345,1.4572
3.5728,1.3898,2.5741,-1.6826,-2.5611,0.99781
6.6702,1.3208,2.0249,4.5646,1.3414,3.2829
12.038,1.7428,2.3623,6.5813,1.6038,4.0564
8.1435,0.50949,2.9202,3.1985,0.6571,2.1659
3.625,1.5041,1.6519,0.73544,-0.44542,2.1691
5.5362,1.456,1.205,2.2553,1.1605,2.3134
8.9905,1.3748,3.2858,3.257,0.38998,2.4347
5.4733,-0.066975,1.9112,3.8631,1.4495,2.936
3.7186,0.98601,1.6959,1.8721,0.32941,1.32
2.938,1.1672,2.1092,1.8665,1.1529,3.0806
-1.1143,1.8933,3.0171,-3.9196,0.030321,-0.043331
7.2125,1.1624,1.602,4.6092,2.5418,2.0336
10.208,1.3985,2.6502,6.8096,2.7071,3.009
8.4099,0.98168,1.8195,5.4213,2.5413,2.4776
2.2671,0.54127,2.274,1.3747,0.81083,2.5826
13.21,1.6861,2.2748,7.8671,1.5573,4.4447
5.5681,1.4132,1.011,2.6999,0.77252,2.1401
8.0695,0.36298,3.0606,3.8105,0.63613,1.9405
10.339,0.93814,2.5705,5.3314,1.2778,4.1989
6.6792,2.2305,2.778,2.5882,1.2736,1.7221
4.4393,0.78438,1.4578,1.7708,0.24232,1.6839
2.963,0.68315,2.2196,-0.094491,-1.0802,2.0558
10.092,1.9701,1.9136,4.9279,0.4235,1.457
5.5573,1.2292,1.417,2.9444,1.5218,1.7738
3.1723,0.10054,1.2675,2.9375,1.7441,2.0023
4.9052,0.10541,1.5356,2.6176,0.52381,2.1943
5.1207,0.97846,1.4092,4.1332,1.9907,2.1261
7.7559,0.7075,2.0683,4.2308,1.4869,2.8071
10.317,2.1281,2.8002,5.2385,1.4523,2.8798
3.7122,1.5282,1.7204,0.96844,0.71146,0.87191
7.3482,1.6088,1.5716,5.5503,2.8689,3.0596
3.8442,0.75771,2.5401,0.83084,0.17838,-0.54568
6.1724,2.0086,3.4351,1.5313,1.1277,0.29279
7.7331,0.87013,0.89783,4.0171,1.0651,1.8303
6.9191,0.68111,0.93851,3.8294,0.22585,1.5439
8.3564,1.2768,2.6459,4.8458,1.7409,2.787
12.628,0.8971,2.0961,8.272,2.7768,2.898
7.0503,1.4387,2.7534,3.1209,1.1549,0.9806
7.2631,2.5395,2.6729,1.5437,0.54044,1.0068
6.6805,0.11093,2.189,2.2061,0.69954,1.4728
5.6516,0.64683,1.764,2.5135,1.8367,0.41273
6.1712,1.1039,1.7714,3.4694,0.91912,1.279
8.4104,2.2643,2.3706,2.5436,0.032195,2.7984
8.7852,1.4796,2.364,4.3855,1.3125,3.6523
5.4148,2.4562,1.7835,0.14863,-0.32329,0.57174
2.3659,0.11195,1.2306,1.7555,0.30789,2.2573
5.7391,1.4248,1.9956,4.0599,1.329,2.803
5.369,0.74231,1.196,3.6549,0.71318,2.7057
7.1179,2.1022,2.6424,2.4716,0.77872,1.1423
9.294,1.8556,1.1961,6.2502,2.8765,3.1864
7.0334,0.56058,2.4903,3.659,1.0427,2.5243
4.5787,0.77832,1.5365,2.8591,0.99089,2.1896
4.2807,0.24698,1.5615,2.3943,0.036249,1.9638
6.9709,2.3385,2.7323,2.3245,1.7226,0.84017
8.2374,1.7527,1.9126,3.9038,1.4447,2.5671
8.1398,1.1767,1.2444,6.1347,2.6578,3.3966
4.5499,1.4278,2.4441,-0.33004,0.44267,0.50175
2.5908,1.419,3.0266,0.53501,0.25237,1.6865
8.128,1.8692,3.4908,2.6323,-0.058765,2.746
1.1947,0.32006,0.72985,1.9143,-0.23361,2.0847
7.8077,0.84755,1.9619,4.9322,1.2187,3.6552
4.7508,1.7281,1.1778,3.0295,1.0968,3.0183
11.114,1.1866,2.3982,6.1869,2.5429,2.2515
3.3486,0.22895,-0.3786,3.0834,0.12398,2.2018
3.648,0.25332,1.8135,2.0286,0.80384,2.4465
4.3141,1.172,2.6946,1.1814,0.96029,1.507
5.3946,0.21462,1.3255,3.3509,0.98454,2.6619
10.758,1.3185,2.97,6.603,1.9407,3.3256
11.641,2.0018,3.5279,5.18,1.9027,2.6719
9.1124,0.97366,1.8459,4.9104,1.3407,3.2065
7.9811,0.29284,0.92115,6.6576,1.8291,4.0917
4.8893,1.461,1.1885,3.4312,1.7829,2.5559
7.1031,1.56,2.6051,3.7863,2.558,3.1836
6.7318,1.0315,3.2245,3.5661,1.7389,2.2695
5.2983,1.0968,2.5682,2.6266,2.6753,2.7123
6.2723,0.40377,1.4693,3.8711,1.8041,2.1056
5.7915,0.6385,2.2561,2.0853,-0.018946,2.1768
3.1143,1.4868,2.9273,-1.3104,-0.57569,0.36743
10.698,0.9692,2.4772,6.5182,3.9556,2.8775
3.4068,1.3102,0.47541,1.8201,1.2322,1.3127
9.2946,0.72857,1.9194,7.152,2.7198,4.3303
2.6685,0.42437,1.1888,2.6476,1.0157,1.4089
7.2655,1.0011,3.0973,2.7031,1.3018,1.4207
3.2972,-0.0025589,1.4873,3.0635,1.9032,2.0122
1.9215,1.3092,2.7312,0.11495,-0.16829,1.5894
11.314,1.6942,2.4312,6.6661,2.1807,4.3401
3.8108,0.54325,0.62984,3.4674,0.85225,2.9612
6.5613,1.4374,2.2404,3.0342,1.2917,1.9922
2.0948,0.58212,2.7209,0.08896,0.30559,1.8475
5.4507,1.2662,2.025,1.9207,0.56224,2.3682
2.8096,0.88766,1.2463,1.5957,0.59954,1.9657
3.7069,-0.19942,0.30572,3.1034,1.6867,2.1562
4.5388,1.8005,0.94458,1.2862,0.56782,2.2164
6.899,1.0034,1.0382,3.7669,1.5297,2.1106
11.839,1.8796,3.0738,4.764,1.6653,0.97427
8.6942,1.9205,1.8181,3.7853,0.75225,2.3807
6.062,1.121,1.9347,3.8272,0.64112,3.2034
9.0785,1.9866,2.3086,4.4663,1.8523,2.3421
4.9782,0.69158,2.0952,3.7167,1.8638,2.6874
6.1408,0.43783,2.909,4.2708,1.7363,2.2509
5.1391,0.19835,2.136,2.7613,1.285,1.1208
11.752,0.44168,2.1512,8.1096,3.1353,3.0807
3.8051,-0.12102,2.6969,3.0608,2.2875,0.74338
2.5549,1.076,1.4719,1.1533,-0.616,1.0074
3.3697,0.79271,0.64902,1.2754,0.043019,1.3984
3.1847,0.38456,2.7597,-0.87939,-0.21162,-0.12675
8.9994,1.1608,2.0694,4.5498,1.7286,1.6916
5.032,0.95164,1.9836,3.283,1.4472,3.244
7.9036,1.2216,1.9248,4.801,0.8883,3.8026
3.6997,0.7247,1.8942,2.1997,0.6472,2.6306
2.2003,0.33954,1.9534,1.2389,0.29522,2.1704
8.4675,1.7322,1.8851,4.8769,2.0946,3.5085
6.0875,0.60129,1.7821,5.4797,2.8945,3.5529
7.456,0.93254,1.9858,4.3279,1.385,2.3661
5.1294,1.1503,2.5811,2.621,1.6419,1.9482
0.19176,0.50198,1.2169,-0.38671,-0.024935,0.39732
7.1071,0.8936,1.7148,3.6087,0.65272,2.6857
3.3986,0.86762,0.30436,1.9297,1.1981,2.1274
8.844,1.979,2.1444,4.3762,0.66641,3.7594
7.7642,0.56765,1.5577,5.7887,2.6968,3.0138
7.5109,1.4637,2.9102,3.3391,1.0827,2.0611
7.8685,-0.15682,1.7656,7.4059,2.5261,4.3075
7.9201,1.3209,2.1043,2.8332,1.0975,1.3177
6.5937,1.1073,0.87743,4.7418,1.3054,1.8363
4.8922,1.5342,1.4038,2.1054,0.99877,1.6502
7.2897,1.0113,1.9113,3.524,0.98325,2.0132
0.96804,0.76665,2.0499,0.31913,0.01925,1.9939
6.7706,0.7682,1.7294,4.9174,1.6923,1.3889
4.3552,0.83365,0.60463,2.7574,0.58776,1.9209
6.3553,0.57203,1.6147,5.2237,1.9271,3.7896
6.01,1.0864,2.7242,1.6543,-0.82206,0.92579
0.39547,0.92817,1.3784,-0.27324,0.27839,1.026
2.9517,1.7822,1.4174,-0.39319,-0.80859,1.1106
3.2966,-0.19903,0.61274,2.8058,0.64147,2.5355
4.1441,1.4439,1.8995,0.95414,1.1401,1.1173
8.5952,1.3189,3.1517,2.9772,-0.28653,2.5644
2.2568,1.1389,2.4092,-0.81286,-0.036703,1.4387
5.4072,0.97155,0.4218,3.179,-0.060918,1.4359
3.4276,0.038771,0.56982,3.5423,0.93718,2.5076
4.8947,0.34834,3.2169,3.3012,0.69229,2.1135
6.9638,1.1423,1.9998,2.9502,2.1571,1.661
12.027,2.1232,3.8409,4.7048,1.2951,2.2222
