y1,y2,x1,x2,z1,z2
5.3499,4.2372,0.46192,0.81567,1.3487,2.9582
2.43,1.5804,-0.32424,0.54612,-0.08851,1.3878
6.6753,2.8872,0.87455,1.8202,1.6006,0.39023
10.521,6.2388,1.1182,2.0545,1.413,4.0068
-0.29646,-1.2663,0.85179,0.98175,-0.52429,0.76634
5.9238,1.6438,1.5602,2.6424,0.68888,0.80209
5.226,3.4241,1.242,1.774,2.6368,2.2599
0.78834,-0.67614,-0.27321,2.8512,-1.0025,1.1899
4.2631,1.8794,0.28384,2.1067,0.34387,1.4475
6.9001,2.4559,1.0557,1.8558,-0.572,1.4342
4.3556,1.5491,1.7842,1.7919,-0.05108,1.5825
3.2615,1.0118,0.22173,1.6565,-0.6538,1.2489
7.2399,3.1939,1.0773,3.1943,1.3694,3.1698
5.6667,2.3169,0.87372,1.3587,0.06382,1.5983
6.5566,4.589,1.4311,1.6256,1.0983,3.0195
4.5305,1.8496,1.3537,1.2946,1.6303,2.0352
6.2318,2.876,1.5941,1.2091,0.67852,1.521
6.2342,2.3639,1.2515,1.5182,1.6277,2.3162
8.3132,3.6426,0.35551,2.7708,0.78837,2.3462
4.463,3.2348,-0.17755,1.3198,0.71198,2.135
2.96,1.7876,0.64364,2.0203,1.3421,2.6685
9.36,4.3207,1.5079,4.2737,1.9797,2.0545
5.8837,3.6961,2.0629,1.1863,0.65732,3.3936
14.963,8.374,2.0223,2.2158,2.6472,3.7213
4.138,-0.096278,1.3859,3.464,-0.24425,0.034166
2.8524,-1.1735,1.0684,2.2094,-1.1247,-0.036725
4.151,1.8787,0.32931,2.1354,1.2255,0.46732
3.5097,-0.42883,1.0917,1.9582,-1.3211,0.46534
-2.5497,-4.3533,0.89982,1.6687,-1.8975,-0.43791
6.1628,1.871,2.7345,2.9596,0.83786,1.4412
3.9727,4.3755,0.082032,0.93746,1.1143,3.6799
5.4801,3.4145,0.47822,1.0992,0.58099,2.2219
2.9561,3.1913,-0.38021,0.32241,0.63957,2.5427
5.7148,2.8189,0.50842,2.5835,1.4545,1.5649
7.8525,1.4093,1.7931,3.2308,0.52249,2.5036
8.376,5.6701,0.28081,2.1334,1.1185,3.0649
6.7436,1.0853,2.5182,2.9423,0.58081,1.2061
6.4888,2.0566,0.72046,2.124,0.51545,1.3712
6.3562,5.5385,0.12746,1.4947,2.7519,2.467
9.2187,6.4434,0.30197,1.7767,2.8812,3.7045
4.3735,2.0771,0.12044,1.3409,1.1804,1.3444
5.0465,4.7842,-0.07878,0.58472,1.7963,2.5544
7.6881,4.5579,0.50748,2.407,2.2543,2.4157
3.8343,0.8068,1.4438,2.7496,-0.58532,2.9465
2.3876,0.38978,1.3498,1.796,-1.4203,0.95687
7.9211,5.0904,0.8521,1.8737,2.1855,3.1181
3.1774,1.6127,-0.58711,1.4296,1.0449,0.87699
7.178,1.893,1.021,1.6785,-0.44193,2.215
5.6808,2.7406,1.1524,2.4548,1.6905,1.6658
8.5037,5.659,1.7132,0.94416,1.7316,2.4886
9.0326,5.0845,1.4954,2.5352,2.8916,1.6902
0.35537,0.47824,-0.49059,2.3007,0.78287,1.5518
2.9166,1.4867,0.39056,1.4783,0.79105,1.09
1.756,0.28146,1.6764,1.5928,-0.13878,0.57188
1.6336,0.68283,-0.78304,0.89349,-1.5854,0.49867
2.7709,1.4151,0.71338,1.5304,0.29026,1.6812
8.5318,5.3661,0.68698,2.3787,2.1379,3.8864
1.2964,0.22308,0.28462,1.3333,-0.080833,0.32633
4.4148,0.9964,0.52687,2.588,1.2322,0.59223
0.80455,0.25066,0.098296,1.0559,-0.48229,0.26988
6.5155,3.9495,0.21801,1.8581,2.4495,2.0727
6.1045,4.7747,-0.015146,0.60555,2.2783,2.6651
5.0853,0.41506,0.95539,2.003,0.13808,1.1453
6.8591,3.3912,1.0428,2.6191,-0.056562,4.3692
3.0765,3.546,0.52681,1.142,1.9667,2.4251
8.2821,5.5849,1.1486,2.3883,2.0646,2.9024
9.5133,5.5103,0.59831,2.0501,1.913,1.9596
5.1293,1.5034,2.2463,2.4517,1.0267,2.4095
9.1377,3.4808,2.2095,2.4864,1.3124,1.9968
5.5797,2.198,0.70827,2.5494,1.4679,0.67547
5.9024,2.4923,0.60561,1.3677,0.56991,1.2167
7.9181,7.0669,0.68115,2.131,2.9548,4.9045
3.6733,1.9311,0.91044,1.0295,0.066225,1.8077
2.5042,1.9121,0.50224,1.2977,0.26163,2.7052
11.325,4.8008,1.7538,1.862,1.0294,2.5249
4.0919,1.7504,0.14421,1.3721,1.0815,0.85642
5.3,2.4633,0.23344,1.2243,-0.083309,2.4503
4.7174,1.9799,1.1811,2.6146,-0.27801,1.9793
1.5341,-0.61103,0.7381,1.8756,0.26602,0.4039
3.9142,1.2322,1.1682,1.7864,0.63119,1.0497
5.7277,1.9222,0.91885,1.7882,0.97672,1.4202
2.1159,0.43915,0.24691,1.7077,-0.30007,0.31987
4.3681,1.3531,1.2205,1.093,0.29319,1.6521
1.5876,0.64626,0.90096,2.0921,0.52513,2.618
4.0863,0.73055,1.4097,2.3,-0.06661,2.0916
4.2883,2.8485,0.44858,1.8148,1.9946,0.79317
6.2584,4.417,1.4686,1.9499,1.515,1.8412
5.3731,0.59466,1.9671,2.3034,0.65049,0.18976
9.2785,7.8298,0.44297,0.7238,2.5856,4.3886
10.194,5.7044,2.0682,2.3878,2.1592,2.1314
5.1607,3.652,1.1969,1.6454,0.8617,2.4041
11.645,6.7557,1.8696,1.8919,2.0269,2.7674
5.9195,3.1837,0.72582,1.6598,0.78042,2.7477
8.1792,3.6621,2.4228,2.3933,0.52354,2.3874
4.3387,0.67746,1.302,2.3363,0.15024,0.72745
5.8858,3.528,1.2263,1.3935,2.3366,2.6085
4.4007,4.2769,0.028735,1.8453,2.5455,2.915
7.3649,3.2055,1.6872,2.7579,2.0729,0.96843
8.5732,5.3108,1.8831,2.2107,0.86241,3.275
4.9063,4.7099,0.48795,0.68772,2.3495,2.0725
4.1643,3.0781,0.43122,1.8114,0.89482,2.5429
6.8154,4.7466,1.0733,1.529,1.2112,2.95
4.4081,1.6184,2.0493,2.7431,0.96723,2.0981
6.2752,1.9018,1.4672,1.9419,0.56348,1.9913
5.9604,4.3156,0.32892,0.79582,1.2788,3.372
6.8315,3.4448,1.7492,1.6576,1.2592,3.2223
4.2403,1.5626,1.1333,1.579,-0.016204,0.74545
3.0203,1.8925,0.61519,1.3107,1.1527,1.2561
14.577,8.711,2.1604,2.687,3.6412,5.591
5.8592,2.9621,1.1265,1.9038,1.4963,1.7119
6.6896,3.1883,1.1257,3.0901,2.4665,1.8113
8.29,3.415,0.56268,2.9609,1.2889,1.7226
7.4824,3.4448,1.9513,2.3111,0.61528,1.7084
6.0891,3.9476,0.6457,2.0847,0.79339,2.1571
0.77642,-0.2777,-0.31727,1.6651,-0.42159,0.93513
2.2778,1.1849,0.58328,1.3575,0.22306,1.71
4.2519,3.9778,-0.1423,1.5366,1.835,2.3356
11.406,5.8963,0.77006,2.2142,1.5709,2.9635
9.6833,4.7661,2.2212,1.0405,0.82375,3.5573
10.394,7.3233,0.80222,1.9614,3.7719,2.5123
6.9565,3.8553,1.4104,2.9479,2.7594,2.9534
8.382,5.4271,2.0529,1.7674,0.97234,2.682
5.3211,2.7384,1.0165,1.7427,0.8612,2.2755
9.2684,5.1036,0.81095,2.5624,1.6701,2.6902
3.4072,1.6653,0.7576,2.3163,0.46819,2.4747
1.6842,2.9836,0.85674,0.17376,2.0867,2.9458
7.4208,2.7202,2.6894,3.4603,1.2401,1.2226
5.4577,2.6647,0.42858,2.0309,1.4961,0.96845
2.637,1.4106,-0.50817,1.3433,-0.19305,1.208
7.4034,4.8925,1.0118,1.0475,1.1549,3.4029
8.3539,3.6247,1.7196,3.1398,1.3295,1.7574
6.8439,2.5947,0.6605,3.405,-0.3645,1.3609
2.0532,1.0852,0.2826,1.1616,-0.21145,0.9585
6.4404,1.0844,1.4279,3.0661,-0.11636,0.17428
6.9938,5.4819,1.4093,1.4642,1.7326,3.3572
6.6898,5.7711,-0.37025,0.83387,1.7163,3.0491
1.1762,-1.1808,1.3164,1.8893,-0.78579,1.0254
3.3869,2.2883,0.45451,0.97898,1.1228,1.5618
5.9719,0.29542,2.286,2.8377,-0.62326,2.0497
7.7017,2.8841,1.4844,2.294,1.0212,0.8397
6.7636,4.4046,1.0327,2.4439,1.3985,1.9173
5.5312,2.5367,0.48611,1.2478,-0.96916,1.5071
9.672,5.464,0.89041,2.6575,2.3296,2.0067
3.1905,1.9529,-0.079731,1.3853,0.93182,1.8672
2.8411,1.3139,0.66017,1.0623,-0.2056,2.2555
9.7241,7.6757,1.0904,1.1757,3.4356,4.1931
10.474,6.0426,1.9757,2.7587,2.9172,3.3911
6.0154,4.1377,0.5821,1.2726,1.3838,1.9907
8.3698,4.0117,1.6583,2.6486,0.80369,2.0441
6.8042,3.9218,0.46595,1.5904,1.9953,1.7309
12.066,6.7283,1.5744,2.2367,1.8854,4.1415
5.7084,0.3646,1.9054,2.9714,-1.4242,0.60688
4.3329,1.5585,0.66935,2.3147,0.08483,1.1548
4.5489,0.29773,1.2029,2.423,-0.44331,1.8835
5.405,1.4801,0.70532,3.0363,0.48017,1.6111
4.9684,4.1269,0.61959,1.2516,2.1072,3.1861
3.7617,-0.39497,1.2364,1.971,-0.50222,0.78092
8.7583,3.4425,2.9637,2.0451,0.55611,2.89
8.4947,4.7181,1.4954,2.1461,1.6734,2.8633
4.0133,0.11328,1.3975,1.9873,-2.0073,0.6559
9.7204,5.6561,1.161,2.642,2.4872,2.4266
-0.3685,-1.4334,0.67873,1.3276,-1.0986,-0.87105
1.542,0.95342,-0.10649,0.85737,0.88404,0.80326
6.6618,3.2802,1.1025,2.4252,0.76252,2.3119
6.1325,3.6261,1.9521,1.0864,1.137,1.3385
7.4795,2.3846,0.49639,2.9164,1.684,0.42055
3.9078,1.3536,1.196,2.2339,-0.55357,1.762
7.3154,5.2766,0.94574,1.5769,2.2278,2.1877
6.8075,2.6252,1.9985,2.8959,0.96507,2.9166
6.0161,3.8329,0.69128,2.666,1.1764,2.821
2.2646,0.1702,1.9471,0.33959,-0.18904,1.2406
4.689,1.8549,1.0383,2.0698,0.95061,1.4524
8.0564,2.9692,1.6669,1.8902,1.3467,1.4343
5.0359,3.4728,0.35364,1.4585,1.1076,2.9245
5.0191,3.0232,0.59028,2.4698,1.4743,2.3485
5.1941,2.3095,0.16792,1.1132,-0.22561,2.4582
4.7087,0.12397,0.48728,2.8628,-1.2547,1.3055
7.3416,4.3033,1.1149,2.153,0.90649,3.0778
3.3009,2.4943,0.8847,1.428,-0.11637,1.9173
3.9759,1.8852,0.4018,2.1335,0.88917,2.5535
7.859,4.0891,1.9433,1.9825,1.362,3.0406
0.80722,-1.2028,0.73991,0.99405,-0.44626,-1.1905
2.6773,0.22267,1.0787,1.6371,-0.79084,0.72462
4.2147,2.2826,0.079965,1.4087,0.034887,1.201
4.5046,0.96389,0.89008,2.2587,0.12633,0.52786
1.4386,0.44954,1.3694,0.87033,0.77434,1.8091
3.9806,2.1245,0.35023,2.4538,0.71485,1.3054
10.067,6.028,1.163,3.6176,2.0172,3.6035
4.054,1.6221,0.90262,2.0371,0.85149,1.5002
3.911,2.1829,0.34969,1.699,1.7372,0.88091
8.219,3.5523,1.6458,3.0085,0.73317,3.3175
0.28109,-0.89798,1.151,3.0572,-0.3092,1.068
2.1264,1.8532,0.37488,0.3553,1.7061,1.1855
6.7115,2.2632,0.72615,2.4797,0.26438,0.34869
0.49358,-1.0947,1.2274,1.4276,-0.58673,1.0757
5.3947,4.294,-0.33738,0.50434,1.4764,2.6809
6.9519,4.0455,0.46248,2.0936,1.5953,1.1296
6.5633,3.9047,1.1492,1.5384,1.4575,2.128
5.3497,1.9384,1.1355,2.0934,0.25141,1.9091
4.9467,3.5331,1.228,1.7506,1.0201,3.6648
4.1493,1.6533,0.69427,1.8863,0.21204,1.1483
9.3288,4.2545,1.3444,2.126,1.1136,1.5571
5.9553,2.9021,0.6804,2.2744,0.54326,1.6881
10.228,7.4361,1.3846,1.3662,1.6867,4.2252
2.5107,1.0251,0.069285,2.1505,0.80258,1.4633
6.4838,1.5071,2.3379,2.6695,0.51768,1.1608
3.4862,1.7897,0.57704,0.88707,1.2015,2.2271
5.4001,1.8615,0.63648,2.4758,-0.28975,1.5839
6.2615,3.9622,0.4927,2.1794,0.7808,2.7318
4.0197,1.3079,0.25363,2.6946,-0.17568,1.5309
9.5717,2.7205,1.8102,3.0173,0.46641,2.7028
1.3093,1.6695,0.32529,1.5728,2.0827,2.5015
10.248,6.6027,0.82108,0.59516,1.2313,2.6797
5.8669,2.0068,1.1104,2.4122,0.55391,2.3659
8.8137,4.822,1.5058,1.4859,1.3912,2.1199
7.2922,3.8009,2.4697,2.6858,1.2885,3.4931
5.0151,2.9282,1.0565,1.6204,0.59335,2.6977
1.7551,-0.076562,0.10266,2.007,-0.26178,0.85285
13.216,7.3115,2.8888,2.5929,2.7945,3.813
3.1566,2.8269,0.65479,1.3451,1.05,2.7481
7.2316,3.8782,0.57075,2.311,2.6467,1.9211
2.6861,3.0887,0.21183,0.59845,0.95289,3.0129
3.9494,3.6303,-0.41881,0.67166,2.2362,1.3758
8.977,4.012,1.1018,3.2109,1.5947,2.2057
6.6731,3.0728,0.97367,2.2996,0.9926,1.5315
6.3569,1.4408,2.177,1.6564,-0.60063,1.1522
3.3426,-0.23539,0.54938,2.0225,0.26162,1.1773
4.2001,0.96338,1.3384,2.5492,0.64929,1.3224
10.216,5.2842,2.2196,2.455,1.9826,3.2718
8.5707,4.3828,1.3634,3.7688,1.912,2.5324
4.5608,3.9605,1.1732,0.74898,1.2747,2.7534
8.3514,4.4836,1.1774,1.7657,0.92372,2.63
7.8242,4.5152,0.9775,2.3315,1.5143,3.3303
8.2225,2.9129,1.3965,3.968,0.45603,1.2346
8.6083,3.7353,0.87246,3.0894,2.0284,1.9523
4.4714,1.2396,0.46536,2.1719,0.27762,1.9388
4.3439,1.6162,1.0628,1.3147,-0.4767,1.5494
9.7151,5.615,0.96532,1.8845,0.87224,3.2827
7.7644,2.455,1.8968,2.4828,-0.49443,1.6441
5.4183,4.2005,-0.31208,1.2901,1.3103,2.318
6.6628,5.4242,0.4074,1.5216,2.2535,2.7583
1.4561,-0.16549,0.21192,2.0612,-0.40258,0.42597
7.8993,2.324,1.323,3.0602,-0.68366,1.0557
5.4757,3.5879,0.64084,2.8587,0.75567,2.4666
6.5999,3.3689,1.1857,2.0698,0.91484,2.3861
7.0358,4.191,2.173,2.6206,2.165,2.3228
10.519,6.4829,1.4991,1.5164,1.3201,3.6912
6.5896,3.7667,0.92642,1.0347,1.4271,0.6098
2.6444,1.0843,0.27319,1.2857,0.22309,0.97525
8.8166,4.0952,2.4632,2.3291,0.98357,2.0577
4.8843,5.3268,0.72922,1.3146,2.06,3.5631
7.8081,5.7351,0.41825,1.0736,1.6974,2.9025
4.3823,1.9877,2.1481,2.4389,0.73903,1.3054
2.6474,1.7513,0.30111,2.9142,0.68019,2.3236
10.629,7.3576,0.48257,2.7086,3.4026,3.3785
3.4763,2.0773,0.63954,1.7079,1.3811,0.22557
3.8616,1.3103,1.1256,1.0143,0.37758,1.1098
6.1974,1.5933,1.4453,2.4819,0.56722,1.7967
6.3386,4.3039,0.5022,0.67473,1.1686,2.1359
6.4304,3.4954,1.2563,2.3698,2.3636,1.3033
6.2611,3.4237,0.43643,1.9516,0.72227,2.087
3.2762,2.8213,-0.43933,0.79354,1.1621,1.6202
7.2988,3.747,1.1505,1.5752,2.6986,1.3685
9.8012,5.2389,1.2039,2.8222,2.0792,2.4736
8.6977,3.0881,2.1945,2.5172,0.52711,1.304
4.4247,1.4578,0.8507,2.2481,0.072289,1.1989
9.5287,5.12,1.9021,2.6538,2.2402,3.1382
9.1304,3.6968,2.1564,2.2695,0.97437,2.2538
1.3647,1.6622,0.46996,1.3563,0.88769,2.0338
1.9833,-0.52461,1.5501,1.4624,-0.37402,1.2978
-0.24307,-3.1041,1.4957,2.6358,-1.6543,-1.0441
6.0732,3.6767,0.5833,2.1957,0.11911,2.8291
9.4903,5.1989,1.2154,2.4274,2.4194,2.4044
5.7469,2.801,0.16235,1.9579,0.50622,2.3708
5.1598,2.4459,1.1131,2.6157,0.14541,2.2341
7.0614,3.7645,1.0256,2.7424,0.647,2.3059
8.75,5.0022,1.8334,1.7773,1.7003,2.8395
5.7472,1.9634,1.0839,2.9918,0.22332,1.4586
6.3712,1.1051,2.0164,2.9479,-1.3876,2.1498
3.392,-0.034173,0.33642,2.6898,0.27383,-0.010311
3.8111,4.0584,-1.2544,1.9371,2.1129,2.296
11.003,6.47,2.2057,2.5039,2.3339,3.2471
6.0041,3.8318,1.6771,2.6274,2.1557,2.7906
11.955,6.2064,1.8057,2.7971,1.4676,3.5544
4.5061,2.7147,0.51329,1.9071,1.1794,1.9024
2.4734,2.4606,0.16162,1.055,-0.066511,2.6179
4.0578,2.487,0.47553,1.3493,1.7104,1.4401
0.16657,-0.91697,0.88729,1.6249,0.23431,0.59385
5.6418,2.0933,1.1217,2.4476,1.4734,2.7394
2.8519,0.64907,0.72546,2.038,-0.36891,0.66438
7.9644,3.4439,1.7785,0.56428,0.88117,1.1735
8.7204,5.4863,0.75331,1.3423,2.2559,2.0306
1.7591,1.9036,1.1328,1.2197,0.6909,1.9665
3.3041,1.4393,-0.47427,1.8977,1.4072,1.3509
3.8221,2.4996,1.2957,1.425,0.93228,2.1769
8.0149,4.0884,1.2364,2.9452,0.57905,1.9612
7.4083,4.4729,0.69198,2.079,1.2549,2.3297
6.2168,2.626,0.54051,2.3026,0.49768,1.8851
3.9795,2.8976,0.777,0.57789,1.5722,1.8674
5.5435,2.4801,0.021464,1.4656,0.29947,1.7089
4.4534,1.4867,1.1681,2.2796,0.19425,1.3093
1.9101,1.4233,-1.0631,1.2225,0.56919,0.52979
10.831,5.9057,1.5422,2.7186,1.9756,4.3724
5.5225,3.2917,1.3459,0.79964,1.4876,2.1551
8.1176,4.643,0.91785,1.6758,1.9124,2.5352
13.011,7.9791,1.3302,3.3785,3.1727,3.6952
5.2719,3.4162,0.58177,2.058,0.64048,2.2864
1.2048,2.0234,0.76588,0.22081,0.45222,2.2119
9.6948,5.4204,1.7622,0.65359,1.854,3.7291
4.11,3.0659,0.60392,1.0447,0.81639,2.3438
8.4324,5.2939,1.3638,1.6714,1.5904,2.9733
5.8032,3.5532,0.59938,1.0875,1.7368,1.702
7.1225,3.81,0.42133,2.7776,1.8276,3.0575
4.7415,1.5746,1.4502,2.6214,0.87598,1.814
10.63,7.0311,1.8405,2.2262,2.9551,3.6322
6.8072,2.7844,1.7672,2.3804,0.86106,2.0453
4.8476,0.72308,0.40684,2.2388,-0.50632,0.15805
5.0713,2.4734,2.5328,0.92599,0.36957,2.2645
10.092,6.2559,1.3738,1.6773,1.7904,3.4218
10.852,6.4526,1.5077,2.5827,2.4021,3.0673
4.2592,1.5357,1.2799,1.6774,0.64333,0.62698
5.4121,4.3899,0.6761,1.4031,2.7279,1.7114
5.2381,4.2675,0.21578,1.0389,1.142,2.9496
6.0246,1.8187,1.8029,2.4897,0.47172,2.3816
6.1097,3.984,1.2672,2.3279,2.0212,1.8943
6.7561,3.6164,0.70576,2.2418,0.64966,1.9633
2.7233,0.80853,1.0014,1.7357,-0.21036,1.145
-1.179,-2.5501,-0.15402,1.6193,-1.9045,-0.39089
7.4393,4.9389,0.77011,1.3941,1.7384,3.5241
3.4288,1.6224,0.77987,1.9312,1.5429,1.8868
1.6154,1.3058,0.564,0.033913,0.013034,1.4111
4.4067,0.98206,1.2924,1.7821,-0.19899,0.48019
-0.18325,-1.2655,0.45276,2.4653,-1.2271,0.04792
6.4199,2.2232,1.5293,1.6314,0.1633,1.6507
8.7613,1.9588,1.4372,2.9408,0.42325,0.74123
9.9185,5.7014,0.65387,2.6038,1.9147,1.8171
8.7399,6.2305,0.48968,2.3355,0.83988,4.0662
12.709,9.3133,0.77495,2.1925,3.0932,3.9344
1.9099,-1.5782,1.7814,2.7426,0.32803,-0.57652
6.4306,0.30984,1.5078,2.735,-0.11445,0.59719
9.3721,4.3851,1.5873,2.4589,0.74192,3.032
6.2746,3.323,0.51438,1.6499,1.1822,1.4102
4.2223,2.8512,0.88039,1.3666,1.1637,1.5322
2.2156,3.6352,-1.5021,-0.23752,1.1668,2.7344
6.9072,3.7383,1.5668,2.1604,1.43,2.7596
7.4866,3.7064,2.1012,1.9904,1.5786,2.5506
1.8813,0.44756,0.59066,1.4131,0.66836,1.7711
1.1688,0.6962,0.30796,1.1903,-0.074704,1.9958
6.6132,2.9609,1.403,3.1581,1.0943,2.2626
7.3096,4.469,0.15543,2.8951,2.1409,2.793
7.2164,6.3776,0.9745,1.5631,3.1665,3.3315
6.8827,3.159,1.5362,1.5798,0.85609,1.4852
1.9951,0.66044,-0.048671,1.5011,-0.36172,0.82211
7.7356,1.4174,1.878,3.7411,-0.61496,1.1455
6.9149,3.859,0.84643,1.9398,0.29411,1.6506
2.9026,0.08064,0.96585,1.3618,-0.29337,0.34493
6.5579,4.2426,1.6004,2.198,0.66397,2.0135
2.7742,0.97633,0.20617,2.6119,-0.36697,0.24451
5.5108,3.2969,0.68303,1.9779,1.421,1.0041
8.1588,3.0362,1.548,3.4649,2.6321,2.0543
9.8418,5.6319,1.4483,1.6329,2.2077,3.3491
4.4628,1.8144,1.5227,1.4156,1.1483,1.9519
8.1366,3.4483,1.1795,2.2473,1.3823,1.2602
5.3609,1.9596,1.0906,1.8352,0.76775,1.8707
4.5475,1.9777,0.093047,1.3027,-0.11248,1.8841
6.6497,2.2208,2.1414,2.1606,-0.26137,1.1388
4.1042,2.0101,0.56129,2.1896,0.32256,3.0797
1.7114,1.3728,0.5518,1.2682,1.2335,2.4792
4.3526,-0.76461,2.3841,2.5776,-0.73721,0.54229
7.2801,2.537,2.0077,1.9168,0.61091,1.7388
4.7644,4.1105,-0.084929,1.0315,1.1934,2.471
8.7207,4.1062,2.53,2.6253,1.41,2.8642
7.6016,3.0848,2.0206,2.8049,1.6142,1.93
5.9824,5.4041,0.0961,1.5788,3.1465,2.6027
2.6268,-0.18425,0.90971,2.3943,0.41657,0.63141
6.7047,3.438,0.57198,2.8754,1.5557,1.712
5.9765,1.5721,1.5124,2.8461,-0.61149,1.2629
6.613,4.209,0.41461,2.0531,1.9386,2.3199
8.7382,2.8882,1.5278,3.7108,0.48648,1.0693
8.1753,4.603,1.3436,2.1195,1.7711,3.0652
15.44,11.337,0.39778,1.8904,3.752,5.795
3.3408,0.14677,1.1092,1.7728,0.1708,0.98562
7.7092,2.7747,0.39378,2.7362,0.66157,1.1717
6.6324,5.6561,0.062836,1.6366,2.762,2.7622
6.3163,4.1842,0.15455,1.4511,2.4278,2.4008
5.5834,1.2251,2.0753,2.5433,1.4398,1.1942
4.626,2.6855,0.36719,0.97323,0.58197,2.3154
7.4547,3.1239,1.5264,2.2105,0.21302,2.8382
1.2887,0.77576,0.33864,2.3603,-0.017036,0.71076
0.8416,-0.67094,0.77468,2.0649,0.17799,0.68551
5.8591,4.284,0.45753,2.5586,1.2805,2.8197
6.6551,2.8072,1.1567,2.2894,1.2861,1.5447
9.6841,5.8506,0.96081,1.4025,2.6647,2.987
6.2983,3.2942,1.0359,2.295,1.0486,2.713
14.748,7.9037,2.6053,3.4266,1.5303,4.1172
3.7332,2.8652,-0.56532,0.88781,0.30758,2.8183
4.8158,2.8253,0.75061,2.2915,1.1617,0.87833
6.2171,2.0503,0.8151,2.9542,-0.24369,2.0212
4.0816,3.1414,0.1981,1.494,1.721,2.2316
3.6594,1.6801,0.23601,0.22702,-0.47489,0.78555
7.4314,4.639,0.92438,1.9006,1.1254,3.4262
10.069,5.1662,0.80573,2.4606,2.0318,2.3906
6.9233,2.7866,1.4754,3.0863,1.3929,1.1888
7.517,3.6338,1.71,1.5837,1.5924,2.1589
5.9987,3.501,1.2212,1.3394,0.51545,1.1835
-4.8991,-4.3922,0.34221,1.1729,-1.6926,-1.7744
3.5185,1.4045,1.3529,1.7433,0.51795,0.67897
6.8876,4.9754,-0.087486,1.3872,1.3956,2.3928
2.2145,0.78869,0.57203,0.90867,-0.53842,2.1629
5.2908,3.1964,1.6596,1.5535,0.18036,2.3001
9.5357,6.0504,1.0545,3.0571,2.6502,2.8604
1.5627,0.83157,-0.45064,0.93221,0.89033,0.46314
6.2337,3.282,0.68633,3.2584,1.0714,2.434
3.6913,0.059534,0.9729,1.6839,-0.50434,0.86823
7.7193,4.1272,1.1836,3.0491,0.95296,2.4291
11.907,6.0045,1.0294,3.0646,1.9494,3.1736
2.3869,0.36761,1.6029,1.4962,-0.76691,0.88662
7.8595,4.0635,1.0753,2.5215,0.60374,3.3088
4.7031,2.1313,1.3833,2.7096,0.68614,1.9735
8.2704,3.8435,2.724,2.4265,1.383,3.2503
8.3539,5.007,1.7968,2.1434,2.3468,3.3544
8.1419,4.2946,0.64966,2.7963,2.714,1.5427
